ID,Source,Geolocation,Location,State,Sightning date,Post date,Abund,Size,Ecological relation/Other strandings,Human interaction/Accident,Age,Sex,Site,URL 1,URL 2,URL 3,URL 4,URL 5
45,SM,Praia Da Maramatailhéusba,,BA,,11/22/2017,,,,,,,,https://www.instagram.com/p/Bb0DLa8ASw5/,,,,
46,SM,,"Canoa Quebrada, Ceará",CE,,11/27/2017,,,,,,,,https://www.instagram.com/p/BcAfXnPhnwO/,,,,
47,SM,Peruíbe,,SP,,11/29/2017,,,,,,,,https://www.instagram.com/p/BcFbXIGDvB7/,,,,
48,SM,Maragogi,,AL,,12/5/2017,,,,,,,,https://www.instagram.com/p/BcU9W4IltJv/,,,,
49,SM,"Quarta Praia, Morro De São Paulo-Ba",,BA,,12/11/2017,,,,,,,,https://www.instagram.com/p/BckcxLshC4K/,,,,
50,SM,Imbassai Beach,,BA,,12/20/2017,,,,,,,,https://www.instagram.com/p/Bc8SLrrD5_z/,,,,
51,SM,Porto de Galinhas - Recife/ PE,,PE,,12/22/2017,,,,,,,,https://www.instagram.com/p/BdBUUKTgAJ3/,,,,
52,SM,Pontal de Cupe,,PE,,12/27/2017,,,,,,,,https://www.instagram.com/p/BdNy9ofH549/,,,,
53,SM,,"Enseada dos Golfinhos, Itamaraca",PE,,12/28/2017,,,,,,,,https://www.instagram.com/p/BdQPL2NhIRi/,,,,
54,SM,Guarajuba Beach,,BA,,12/30/2017,,,,,,,,https://www.instagram.com/p/BdVWf13FMBn/,,,,
55,SM,,Morro de São Paulo,BA,,12/30/2017,,,,,,,,https://www.instagram.com/p/BdVExLNBiyC/,,,,
56,SM,,"Caraíva, Bahia",BA,,1/12/2018,,,,,,,,https://www.instagram.com/p/Bd3pMP0lb4x/,,,,
57,SM,Garopaba Beach,,SC,1/18/2018 0:00,1/18/2018,,,,,,,,https://www.instagram.com/p/BeGFg-xnYOM/,,,,
58,SM,,"Recife, Pernambuco",PE,,1/18/2018,,,,,,,,https://www.instagram.com/p/BeHJ2JAlsjh/,,,,
59,SM,Gostoso Beach,São Miguel do Gostoso,RN,,1/18/2018,,,,,,,,https://www.instagram.com/p/BeGKrt2j9bs/,,,,
60,SM,,"Praia do Forte, Mata de São João",BA,,1/29/2018,,,,,,,,https://www.instagram.com/p/BeiAxkHHpIZ/,,,,
61,SM,Praia do Santinho,,SC,,2/3/2018,,,,1 accident,,F,leg,https://www.instagram.com/p/BewBVZhBD7H/,,,,
62,SM,Praia Paiquerê - Morro dos Conventos,,SC,,2/17/2018,,,,,,,,https://www.instagram.com/p/BfT4wInlc_I/,,,,
63,SM,Orla de Boa Viagem,,PE,,2/24/2018,,,,,,,,https://www.instagram.com/p/BflMdOrhxXo/,,,,
64,SM,Praia Do Bessa - João Pessoa - Brasil,,PB,,3/13/2018,2,,,,,,,https://www.instagram.com/p/BgQtn4xBPn5/,,,,
65,SM,Coqueirinho do Norte,,PB,,3/20/2018,,,,,,,,https://www.instagram.com/p/BgkPfqlB6FN/,,,,
66,SM,São Luís Island,,MA,,3/25/2018,,,,,,,,https://www.instagram.com/p/BgwPyBiH-Tq/,,,,
67,SM,"Arembepe, Bahia, Brazil",,BA,,3/25/2018,,,,,,,,https://www.instagram.com/p/BgwFQlSBvYj/,,,,
68,SM,Praia de Villas - Salvador - Bahia,,BA,,3/31/2018,,,,,,,,https://www.instagram.com/p/Bg_qY3qgMkQ/,,,,
69,SM,Salvador,,BA,,4/16/2018,,,,,,,,https://www.instagram.com/p/Bhnmhorl0QK/,,,,
70,SM,"Tamandaré, Pernambuco, Brazil",,PE,,4/21/2018,,,,,,,,https://www.instagram.com/p/Bh2fgk5hguy/,,,,
71,SM,Maceió,,AL,,5/4/2018,,5 cm,,touching/ holding the jellyfish,,M,,https://www.instagram.com/p/BiWp8tZHpTB/,,,,
72,SM,Natal,,RN,,7/31/2018,muitas,,,,,,,https://www.instagram.com/p/Bl546TdDii3/,,,,
73,SM,Wish Resort Natal By GJP,,RN,,8/2/2018,,,,,,,,https://www.instagram.com/p/Bl_2LGEAcC-/,,,,
74,SM,Praia de Tambaú - PB - Brazil,,PB,,8/21/2018,,,,,,,,https://www.instagram.com/p/Bmv1_K9luzB/,,,,
75,SM,,Stela Maris,BA,,9/8/2018,,,,,,,,https://www.instagram.com/p/BneEDnEBLyI/,,,,
76,SM,Jequiá da Praia,,AL,,9/27/2018,,,,,,,,https://www.instagram.com/p/BoP9sjTH3Ta/,,,,
77,SM,,"Pararacuru, Nordeste",CE,,10/5/2018,,,,,,,,https://www.instagram.com/p/BojpW-KH01B/,,,,
78,SM,Olinda,,PE,,10/11/2018,,,,,,,,https://www.instagram.com/p/BozMfxvguXx/,,,,
79,SM,"Tamandaré, Pernambuco, Brazil",,PE,,10/12/2018,2,,,,,,,https://www.instagram.com/p/Bo18yvmAfFm/,,,,
80,SM,"Aquiraz, Ceara, Brazil",,CE,,10/14/2018,,,,,,,,https://www.instagram.com/p/Bo6Ldr-lbOP/,,,,
81,SM,A Onde O Mal Não Mi Atinge,,PE,,10/18/2018,,,,,,,,https://www.instagram.com/p/BqThJ-vAhpu/,,,,
82,SM,,Praia do Forte,BA,,10/18/2018,,,,,,,,https://www.instagram.com/p/BpFrhuVlHSl/,,,,
83,SM,Praia do Bougainvilée - I,,SP,10/20/2018 0:00,10/22/2018,praiacheia,,,,,,,https://www.instagram.com/p/BpPTlXTlBtX/,,,,
84,SM,Itanhaém,,SP,,10/20/2018,,,,,,,,https://www.instagram.com/p/BpK3LZJlKGO/,,,,
85,SM,"Caburé, Maranhao, Brazil",,MA,,10/23/2018,,,,,,,,https://www.instagram.com/p/BpSjDugFext/,,,,
86,SM,,Pau Amarelo-Paulista/PE,PE,10/28/2018 0:00,10/31/2018,1,,,,,,,https://www.instagram.com/p/BpmUrx2FJU6/,,,,
87,SM,Árvore Do Amor Maxaranguape Rn,,RN,,10/30/2018,,,,,,,,https://www.instagram.com/p/BpkcR6LFOq-/,,,,
88,SM,Porto de Galinhas - Recife/ PE,,PE,,10/31/2018,,,,,,,,https://www.instagram.com/p/Bpm1MPVDUfS/,,,,
89,SM,,Pau Amarelo-Paulista/PE,PB,,10/31/2018,1,,,,,,,https://www.instagram.com/p/BpmUrx2FJU6/,,,,
